NU_INSCRICAO,NU_NOTA_MT
76190ff09a736ff83169394b770699b2709c5a27,501.9
515db15df8581ae72bb8e8358833016adee74e02,465.34
e2a05053c19e6fba60d0e582e6c7f371728a7106,466.23
2378556841bc8d5746f2b94d6adefc2db20f9518,519.25
796d558152d241567f8a72b535a5e36fe78886f3,450.41
1093edca7a04127a6e04570ee9cb58ef1bc0a69a,521.28
3c748fc7a94edb7ac1484373751ffa8574a3281d,425.68
344a6fc8038e291a6371f94963d7a7f5e1c4d55b,388.35
10a1e8808e744c619376bff659f859cd71e8c41d,454.32
fc959dafc37dde3f173f083486d84ce5c817443f,455.49
6979d91c0a1903a336c640e14eed100821a0e24d,466.54
d4e37c4c1235ce014392f6c8ba0436f195b9e459,537.05
565a955a60c6073157aa869c0351c626a7171ef3,532.14
99be797e423b5ae08fe342ea772738f71975df47,603.67
b579ea83f2d6c15b2c717d16a89827d65f39904b,483.71
e9373b5c22567bec508f2fa2580e4dc3ff687caa,539.97
a465af361b68bd536dd8bf61d522b9b21755ab60,525.96
c8feec2a94d996d03534ce935dec7a034667f107,672.31
af1890b4dbccbf8b6af56051a39bd4b13d1c971b,470.39
f4f7888cfe88b7a3b0f3d94749921976353ae82c,477.52
cdf60a765205a4e99eab17c72a68ff9cfd019dc6,481.46
2e466f15ac7b80870736fac2d0cf4bd7f362e852,471.11
fc83a5c665f70f39b4c7d326118cbf21a898e660,576.67
ced4913c2220be57c54bc9f87bb4f441d5976671,470.99
880ade460a231d722e8bb0e4d17f3c8f77663d37,404.98
7c869f5b89ddf3130c87011b6508ee59e32682c5,425.12
9027f65d4e576928ca59690c280050c53d66506a,643.89
09eb415bcb9842d207139c8bddf32427a134d51e,524.97
f8224c83e27f4921df62876f7ff660b1dab3d974,464.99
dfec3182aec0997207e0845b072498065ec89aac,611.17
d653549f6d0ba70e2113b2cc56e9a83e331d2462,555.33
e95674df974af80342f676ca9e3540aecec2b8dc,489.86
f9333cc1eb8af5bca5469d91e2c5d5f661b118ea,526.92
22d86e8b43a9412df86ec15ac231b9919e3ec905,459.17
1c61035799f6afe7f44c1fb68567d7a8945c3943,560.36
d5ed4b8732b0d7127a64f7e71137d321c56cc198,430.73
63edbbe59337f861a710bee4fe8a691d231f23da,426.64
21b8ef230efbfca6b5f15b36a3243d76ed390967,497.84
fdfca50f5e6cacd5b30bc546f0fbc271e9a312ff,390.56
3de3c134579726fe4606b7a05f82ce19f00adb09,628.48
0f3f9e48790ed9d6ed17ff5e9cb989849b31cc8c,431.13
bdaf0955746c2cdd3b9ac2538c7502d312fffed8,407.92
520c60d32fd2af8be76abd332859b36d8ae45900,461.21
6cb6e2310b52c2898e500f81bea938446592568b,482.13
0193b535914e1c5a445bede11a408bf1709cd3cb,481.24
f3669f0c65dbf99cdf8f5f176587e84d5fc7560f,508.22
9b378e3937af8e97d4753cdf0c8917306354aaaf,489.92
1c92f54a5fe563622a0e23cf116461a7e147efd8,537.89
90facc45f7578775e3278aa0bd4fb59dad4d37c1,436.1
c8062c4cc7e023996bd37b87295f5a2957ddb172,458.29
f654c32a17935317b2e91d8e16aa8dcbf88e2ef2,581.25
7dd5b0fad5bd47ecbf2e047dee24866a9b5899d6,453.22
1b61f7e184c7040ae4cea725153965e1f7f75308,446.2
95a9c65324583892b2d1a0c1c5163488f92d4a6d,408.97
5b7e7632cf766876026d0da6aa7c6df77bc13438,443.07
96fd0462597b8cf21b1e918c1947106cd8359e5d,519.64
5c1cef937c40bf8c30c119160bedde7ef679454e,587.2
e39fbeab552a4b6492346d821d095c3a0d691555,441.73
93694c58636eabfe86550e734efb3775ba4d739f,490.27
8982636d1f9cc5832eddae4d8a04ee2c6adbaebd,613.16
6c05e70130682975c1485a862b6e08b895650671,437.24
8db36ae38c19710d51d3715a6b2a5ecd84f94ff4,416.37
15043d6ede69cc06a2f2a72afcb05c1cdb5870d6,386.62
283df09083d3c7bec2590f22355c7ba32ec88623,514.26
5ae9771e0cd24b8eb599de2e0fd2e04a26520dd3,572.41
23131f453efc29c2af9553d307692c60a3add1ae,447.86
da42a6267fe6eb7baa0a4fd2a18aad577e6889b2,429.71
941646a7d24ee2837d7de90ff0a736bb8f61d68c,399.98
5cd0dfc9a768868f28b11f9cf7870f11cc1ed185,504.51
cb4393cd17b5bdc120dbc15ddd255aa1f35ba090,428.32
72882a9cffe151d94be90e02ce3967a91b628099,490.38
cf62916c9829bd3ad05104151eee856d6de7ca1c,591.21
6b8f4241357e65c0491cc0ef96396f811574134c,452.84
268d48d0247f055ce2ebdd47cd5d1d3ec45246dc,418.43
afd0fa3f3fc672e3c5d6c21173b5ba3b8caa5c8e,461.04
8288badec4740382dbf7c33e4095cd4db0021bf7,397.22
5e139289eb167622f915eea3d1d6e49d15d1c873,507.02
fc050b2c8fa3446890fe1418332352177dd34506,465.96
8f309746992f374b4c2ea88f171233a9469ba649,460.43
ba1d192a71d5ac1a0b9a30bf3c80ef9dc59fefa2,475.28
145b6344526f9df32f4046c8227282477c51d69f,428.42
a22cd8d6b6ce7424065e477f2973bfd49b1ff2d6,456.71
b23775f4cd460ba687d77b058f2bc46381a0fbfe,453.8
87c4839ae2e1f274e88e7b9644fc1e1991d10aa2,590.17
d0c56c5d1e19653aeb2c6fdf16c80ed09270dcaa,448.96
2bf8abe8000927aeff885fdb26e82579b54bb657,422.99
dfcd80c91cf897b5a23dc36aeaeabf8137049ae0,517.06
3ef584654da4e658ecdffb68bc4398c97f850ccf,448.21
ea90166cae72eec871b4100ed8df997253bea84b,472.82
0e63d5d397c72b9c9ffa3974b3ccc8c228da98ca,519.53
39e7d2bf0be98a9698aa1369b7ca5576d392a777,471.57
01d88812b1d865b9797b9c57ed7538527593eb1d,549.85
879d82fe92a01214851fbeb62cd533fbc9d4ab87,543.96
bddbc541b26cbdc46bf0e2df980a3c8078f13cb9,486.05
a185d42f150631e1f22e1d81f965dda9833d0bec,465.4
c5994a51d6c24ee4360aee344cebf55bd01c39e3,525.46
bbe2574187920d91ca67a657c5a476f92f8ac142,461.68
8637d558542ccd4a1cd1d3ab336711edad60a966,472.8
30fd3c461823b211ad79159256fdb3eb101deff0,438.22
88c22a24bf7c1f218cdd78973beb0e93d5fabbfa,451.13
4d12becc50fceaa6423313e98858cee7d438cc36,475.22
5c55594ff65d25732d6104cf60588ae877cb6e9c,576.39
ebd6ed760a482a95ddc04d78254761296ea73608,536.43
4ea487e7fd10b89407bd3c72366366f5b505847f,501.97
0a5d7cb6bd339bb5ed303bbba82a3c0e10b1a405,479.31
49a9374bc759c6a4d1f8fce5ade5908afe72803c,473.84
4f735bfdc3f9ff0ca502f569e2511fe07c48f16c,452.23
0f31c91179f811dc6de3d071914cba2716013473,437.76
0d5e00d498ff6f08f74dad2a0d8f566f0c82e978,487.36
a945e7b0eedbc6722edf61c6e9115199efa0e79b,608.1
b52cae71211465e9b76723d1dab3cbb973a76a5e,450.85
c64825379cc10911781e842c315951b835c0246d,458.0
3bbcc2404ed1002943c4a80215c47ff1ba31ebbf,460.0
d077ad9b71684906e32bdfefac01c893ff875c40,525.06
0e02316fc08deb2a0ccf7b606d3564cf17d6763a,436.8
44cb1704d691a020beab734f494635e2603af38b,444.83
c1605ac858a2c5e7a3d674bc0dc56b9bf9fc9b67,491.46
623b39408740e01c79d585779f119b7bd31aca5e,468.84
0954f039d7ce9b83b763b6406d3be54af9d386a0,420.98
feeb6dcbdd5c1d3978768ecfba0f415b01b8cb3b,460.88
bc764ff3e2905ae18491fcc46b2cf1812bf43771,606.33
4d0b3bca1ec9337bb27b9d6710702ebb79a90046,518.29
b62836e36b6a37a18823b0176647b31ed84bd759,449.7
48b56e1d641022967e5b2791de675d524b685afe,439.37
6432732876989f4279e03bea20c37a21e0ce488d,636.48
c322f8d156e174e549a44fdde96be32358ab85a3,449.76
92f7742f9719e14801466a45e33f904e27be2b17,449.66
8f00986f46ca0c0eb14d9d8e811919bb76d29fed,434.03
bfa438beba3914291e0978747404004f6ac79179,448.81
9f7b8de3a22fe246b22d46de9b4c1d219eb1dbba,417.73
7db2c8ad5fbddb754318a9f7d0503ef849ef5729,386.37
9ee6755fd1b35eb53b9ec0d1afeddae8b1d8f38c,490.52
ae6a72fb90a0c32b27c4aa45ff692c3783de2290,402.6
b10d3fcde629e4b68758d3dc58911a113837d255,463.47
2f63a217a4f812d4bb8e3a4a569d43ee7b36a2b2,415.45
587f219b07191d201677be07e43852b73a5dfeda,479.37
c669af3c60a62511990ed5f486c525285df59750,494.82
0dc0351a9da12f74bd5ebc918d60f9580be35182,459.01
20cf36f1ab557d2f44d1fba0291054ecb26d8a8a,415.69
d053a386f5497719e02334cc444acc545258bc3e,535.11
446a666ce7e015158181ce032e318a2ceffad8e1,459.01
ad896f169fe2e02c8cda5553fc0cb4aa100fee20,424.74
e432792b8ba54bba838375cb3f02c340a6efeacb,198.89
80069d0ec6aecb2f74d973c5bdc5c53ff2a48413,488.34
dc56167fb0ffcbf92624206591985da23ba078a3,471.5
10f8e410cadeee997d11e86ed5749c98c184f102,465.04
9c0cedfb49df5633bdc16bc263e8f574a1e283d2,461.18
b18c91072332db5e81e51adf0ad4a18c682fe025,407.24
0d6cc0da68e9b6242b5ce66bbc0ed812fc559874,456.06
040e479d45f83b7944be895d04b035489e544ab1,469.31
b505434998285eb78dfdb4341e4a29cc13a2130a,409.08
b16fb245d399e311b54c8f9edbe23b0814c8b6d7,430.91
1167115298a1ed2c659e1e365224311af48ff8e6,528.65
ce62d6ee9ae7ef876a5642ccf61e1acf7f6aa12c,397.55
386238d9cc8f497486ec335159e3d3fb59d9d57c,525.64
abafba1eacd1b34ef2e197683cc1d19e7c47cd9d,446.67
961f5a44f06750c88181c1809c6d002252b8d4e9,483.25
24605a2eda427ea715d61e72f5e40d6afd31bcfd,578.68
9810f9ad1fed4a44dd3150d3a93c2321402176f7,441.07
0b01e142abc07e710ae4f8a315866d95f16d592b,533.41
ab9b69839b48825032b5f4778eea40e321c1ece5,475.73
3004e0b4f4b454854f0bb254473aa012e17071fd,600.8
84083dec8994b0da91c7be5bd5cf540a92d367f9,397.36
c7edc5daf30c7d84bb0b858deb7b6f0cc58fcad7,509.32
55a278c454fb7415451563c61ed46f5d9dc352d6,514.16
051c748ebab016611de489dfc13b6616d1070361,477.8
e2f476ff901b0c67a7df201c865aca3219bfd803,515.09
7ae5a82f05c571cbccd3d1057aa2ee320633335c,492.61
1c86c6bc97a76e31219f8902c13627c0de70c6cb,499.92
e6b0a19633e93aa0e26b5644d0142d79c7526d5d,471.01
acbc30d483ea45980ae8919a1e608acbb560d796,529.89
d4cc2188bbe4365cbbec0d8e697f5f982d217c55,493.38
3c049c9981020ef5f6968e0eec4e6969fd2f4b0d,444.66
a5c39ced20251de476553163291f5141f9b66d1c,391.04
6d9409ae58f72c208c0ad1c8168080a8deeef8a2,439.86
85e6b7523bb635e5552fa91b4a79122118918668,533.1
5443c9e35006e84510c518efc894c075b606c83f,409.25
80b9f96ee31137fbe9158841eb193d26d6dd762b,450.44
6091d7a1acb022b664e212bbc322932384824ab4,442.96
828f1541b637d7781583e98f754bbb433f2d1dd8,529.52
aace2a613988d1619385514862b227ec1a616255,395.43
45a6fba80a860b768d6b4172b97e35f0b06db075,509.85
4b93629e017653c27a7ac99b9ed6fafa003a6777,486.13
ddd68576dd27c673687d8b04057adc396a75f566,474.18
ed9e6225f3914f90c61a39572bf1ad207688a3f0,483.39
270692d94f5e7f0d9dca2a1acf8f3ab24dbe1bf1,540.46
afcb620ab13d96348763196f200b6bf94ab1c060,456.26
7cfb1d64261039d25784ecc70e9bf286ac9492c9,465.52
4cf6407fb9c6a86e31d6e45ed7ba4e0531279d40,425.44
5dc2bf0223a2c68ccc7a74e5c61571c31eb62343,425.16
d6c682e729a33858ccdaf54a2a3c625c82ddc108,481.62
793d1bfef9d9f220421ffb7b334d6cc0bd005a59,562.27
0ff0abca7be65e556773ff1395550ef791c4d272,530.09
af5143b6372ff9e30d17884cead389c15fefde19,429.05
d1f6e0c6d574a1def695974263f5e1461d99e90f,599.66
31c2a0c6107ea4c62557f793221b4c341b73b958,424.83
650ed2fdd80680c747363dd1085dd191c60a0d8d,515.62
548cda0eb6595f3e63ff696ba2c76968d822e92e,456.37
6e54fe08c0b09ce7e1e97e331fe394ef9bc90ef7,478.95
4c314024a3148ca131970a181ffb67bc108c25f0,472.82
9175008ab4a7ec7a5eb989e56a73c49ad37a0da0,371.07
8276b13cbb842748278f0bb9434d9aa34b8764cf,544.95
dde3ec7e3489818a870e8346cbed7dd39ab15b55,537.17
3ee2b42396bdf4bc036a6cba96664f8ae93c6b8e,426.62
726756441f525880e8b6987fe2cb3e35b8bac203,502.91
cea2338f7449ee46b5492f075395096cd6c6f939,493.92
cbec7350314259d2ba8b3ceceb58a210df4bc681,506.32
9c24a3786f38a3b87cfbdf5a9a920e8d87a32fc6,442.24
02120ff284b0881ece778d68b6adf523440d0a43,589.49
0858ed38f44ef60f451b7a7fa78c0ebc08447ea0,555.91
37479cc6bea164d3d5a329917e99bf1256ca65a0,505.49
59de7100f8842a0de4e46a76d80fe9d2aae7501c,482.39
dee367db96e2cbf6b2a914ae684a5b212cdf5b62,526.56
814e4068b1c6635a9d815252bfb52588654bfa9a,525.75
3db74518ad8faadf00daef29f2aa1d9c2456677a,408.14
5c932a4bce9b2d1d17244a0ff664eb8079842b1b,475.43
ac9116f93ab30680484fecee10333e60a3400ea2,441.71
c23759ab3cb0c1798bb12b54a262ef445806afb3,424.45
c1172ead1d0a8e4dfaf979e48f44e50c8201b879,389.97
2500339c0390a5cf28e1e8df0477e13fd4cdd674,429.5
b586f97dcd32cce5a58846e9451b362bb2610fab,494.76
ca29c819e5edfb5a2af0cc739b092c671cd0ef61,516.66
161dfb26aca998800deca1eeb4fbfe89a52feb49,513.51
f630e84d0fd9bff0d01e51e94ddf21d2d7458d0f,531.17
d7aecd6b60d8431c2c1e0751e9b9d7a9bdac1d34,508.48
8eba2f0dcd23a99655dec302ddeeb45a96353a2a,464.99
dd732838c9fd669241c08abaa56c01e8df68d05a,416.55
ced936a58ffe6323bb917e8aa72dd83e6bf6c1bd,508.0
bbbd21500338762a2e766e1f1e329f56dd1ad7b5,599.55
2bf1e3cfb43778286f4b43c4e1623b4ed5fa2d00,474.81
7f0e7b3bda0941ef1862a12cdeb7320f4e11bba9,412.37
9a40ea9a985309c004b97d695bdec0005ec0e34a,467.34
d9396c10798f8fdeb0b2d7a07e287e26ed47a523,365.09
85615335c72589bd0172d257b352b1c4708660eb,464.57
0a0a040855f52d4ae73d3ecb7ea397c9c8b9c6e7,466.24
fa883407d61fec85d241503f3ab570c000a1b2db,484.73
a10efd91e30aef4700b875a2aa7758834913312a,411.33
cb6093db7de64440b441bced08f3e0cd07f65ea8,470.77
9633c263d32bd988f14096eabc30610389b0627d,441.92
